artist, energy, danceability, speechiness 
artist1,1.459,0.895567,0.059239
artist2,1.412393,0.578902,0.161
artist3,1.7005,1.357,0.365927
artist4,1.111278,0.389561,0.198405
artist5,1.820298,1.365092,0.111127

