Artist,title,Acousticness,Tempo,Danceability,Energy,Instrumentalness,Speechiness
Apocalyptica,Ion,0.000493,91.053,0.468754,0.943076,0.696953,0.053434
Apocalyptica,Heat,0.000076,125.005,0.402025,0.782137,0.703526,0.046536
Apocalyptica,Inquisition Symphony (Instrumental Live Version),0.064742,107.576,0.261114,0.713012,0.753297,0.043687
Apocalyptica,I Don't Care,0.033824,91.017,0.505196,0.28046,0.000003,0.027988
Apocalyptica,Epilogue (relief),0.85587,92.896,0.112081,0.323423,0.857967,0.035028
Apocalyptica,HALL OF THE MOUNTAIN KING (LIVE AT WACKEN 2014),0.013922,107.484,0.304071,0.863197,0.556761,0.139709
Apocalyptica,Oh Holy Night,0.792558,78.217,0.115048,0.19079,0.871561,0.038818
Mew,Saliva,0.042559,126.996,0.730079,0.651598,0,0.03256
Mew,Hawaii Dream,0.298822,129.613,0.335459,0.50261,0.740879,0.040771
Mew,Louise Louisa,0.020406,105.849,	0.306455,0.24634,0.000147,0.033699
Mew,Snow Brigade,0.000572,123.735,0.564249,0.833781,0.000142,0.036976
Mew,Satellites,0.799052,119.942,0.3496,0.388275,0.035898,0.040331
Mew,The Zookeepers Boy,0.662049,126.959,0.354562,0.423375,0,0.033775
Mew,Comforting Sounds,0.633718,159.951,0.30004,0.347974,0.253085,0.033053
Mew,White Lips Kissed,0.217398,124.2,0.420356,0.468307,0.000033,0.033231
Mew,The Forming of Mew,0.910672,81.957,0.485166,0.486528,0,0.451029
Mew,An Envoy To The Open Fields,0.001832,105.985,0.562101,0.726611,0.000024,0.026989
Mew,An Envoy To The Open Fields,0.000534,105.882,0.614362,0.746218,0.020383,0.029182
Mew,Saliva Mica Panda,0.932848,127.948,0.370486,0.19346,0.000001,0.031694
Mew,Clinging To A Bad Dream,0.030954,83.267,0.293606,0.483275,0.753845,0.03996
Mew,Half The World Is Watching Me,0.398125,121.607,0.4957,0.369129,0.132579,0.032001
Mew,Web,0.004415,99.899,0.341831,0.869555,0.51362,0.030916
King Diamond,The Accusation Chair,0.026629,138.489,0.32815,0.947575,0.685519,0.076752
King Diamond,The Family Ghost,0.012669,115.098,0.220565,0.994347,0.1628,0.262519
King Diamond,Up From The Grave,0.249162,108.007,0.530872,0.447671,0.00722,0.02798
King Diamond,The Ritual,0.008166,187.671,0.238464,0.931468,0.001956,0.074635
King Diamond,Victimized,0.030144,92.846,0.252256,0.971512,0.3076,0.054884
King Diamond,Slippery Stairs,0.001054,66.276,0.31343,0.950343,0.02779,0.07448
King Diamond,Six Feet Under,0.000309,196.2,0.337694,0.945147,0.838298,0.057708
King Diamond,The Trial,0.019121,102.082,0.498098,0.875898,0.286195,0.046675
King Diamond,Eastmann's Cure,0.000197,118.641,0.499319,0.962444,0.749653,0.051018
King Diamond,The Cellar,0.000192,129.964,0.335209,0.879465,0.013837,0.035567
King Diamond,The Family Ghost,0.003929,109.787,0.269941,0.962818,0.182112,0.171373
King Diamond,One Down Two To Go,0.001819,89.002,0.426946,0.807589,0.000001,0.0451
King Diamond,I Am,0.005355,122.574,0.262123,0.695972,0.004689,0.036527
King Diamond,The Storm,0.001123,88.687,0.445557,0.949701,0.083614,0.06548
