Artist,energy,danceability,speechiness
ABBA,3.6866809999999997,2.7575469999999997,0.160526
Opeth,3.5369189999999997,1.286488,0.35911600000000005
Avicii,3.656953,3.2365880000000002,0.755947
Arch Enemy,3.962036,0.83877,0.4633280000000001
Swedish House Mafia,4.416321999999999,3.152989,0.4080619999999999
Meshuggah,4.832387,1.224783,0.7244600000000001
Robyn,3.19857,3.2273510000000005,0.8360410000000001
In Flames,4.366841,2.190503,0.232294
Yngwie Malmsteen,4.5146690000000005,1.81601,0.402704
The Hives,4.854249,2.1436939999999995,0.46790699999999996
